"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D5,D4,D3";"TVS_LESD5D5.0CT1G";3;"LESD5D5.0CT1G";;;
2;"C4,C3,C2,C1";"C_0201_0603Metric";4;"100nF";;;
3;"R2,R1";"R_0201_0603Metric";2;"5.1K";;;
4;"R7,R6,R5,R4";"R_0201_0603Metric";4;"1K";;;
5;"D2,D1";"LED_0201_0603Metric";2;"LED";;;
6;"U1";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
7;"J2";"PinHeader_1x05_P2.54mm_Horizontal";1;"Conn_01x05_Pin";;;
8;"R3";"R_0201_0603Metric";1;"10K";;;
9;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
